id,uuid,created,updated,name,description,tutor_id
subject_id_sequence,dbc9814f-4291-41bb-9833-0bae39045425,2021-11-16,2022-01-29,Quo Lux,description,132
subject_id_sequence,9bbd97c1-fc4e-4fae-b99d-8a93a39e8432,2021-12-19,2021-10-22,Stringtough,description,133
subject_id_sequence,b3cdc3ae-da8b-4924-9cc7-a941b8547880,2021-08-13,2021-11-05,Span,description,134
subject_id_sequence,a2e8fa65-aa4e-42e3-b9c4-545a9e519d5f,2021-11-20,2021-06-05,Wrapsafe,description,135
subject_id_sequence,ce39af05-69b9-421e-9aaa-bb4282604621,2022-01-25,2021-08-05,Fix San,description,136
subject_id_sequence,b6180ce8-c3cf-4d67-8981-98b0e3192638,2021-09-09,2021-10-30,Zamit,description,137
subject_id_sequence,7ce3d057-6cf8-4bca-bc38-4061a5dd0fee,2021-06-12,2021-09-29,Pannier,description,138
subject_id_sequence,63bfedfc-ce0f-450d-aec1-b778e43d7b25,2022-01-04,2021-02-14,Bytecard,description,139
subject_id_sequence,5481d41d-437a-43e9-aa08-385608506ca9,2021-07-22,2021-02-21,Tempsoft,description,140
subject_id_sequence,16fff0f2-140e-4088-b137-4c0515c2d132,2021-07-06,2021-12-08,Flowdesk,description,141
subject_id_sequence,b069aebd-adcf-4534-8253-68ee30754b5c,2021-08-01,2022-01-02,Quo Lux,description,142
subject_id_sequence,ad8b61ce-368d-4b29-9c6b-35bc70824a21,2021-07-05,2021-04-06,Tresom,description,143
subject_id_sequence,1e516805-a568-45b7-8c96-05e654f80b47,2022-01-17,2021-11-13,Lotlux,description,144
subject_id_sequence,82716d9a-f6e2-4d80-a25e-7c7917ec664d,2021-04-25,2021-09-22,Stronghold,description,145
subject_id_sequence,ab9a52e3-67f0-4f96-9837-2147997d33d9,2021-08-30,2021-12-07,Zathin,description,146
subject_id_sequence,ec17cb50-52f1-4924-ad74-711cd13a3528,2021-04-18,2021-09-07,Cardguard,description,147
subject_id_sequence,0b542567-66a8-4310-9f81-8f4ebc70d36c,2021-07-26,2021-08-15,Zamit,description,148
subject_id_sequence,2e5da246-aee5-49f3-bca0-e3136cf1a82d,2021-06-09,2021-09-29,Veribet,description,149
subject_id_sequence,801fbcab-c2b5-45b9-8645-8cc373ef5f4a,2021-07-09,2021-08-05,Y-find,description,150
subject_id_sequence,8b955f43-7043-41ba-af9c-53b7c8f7e0e4,2021-10-28,2021-04-08,Lotlux,description,151
subject_id_sequence,65a8be44-7b2e-44ec-80ac-dbdf32591ebd,2022-01-08,2021-04-28,Ronstring,description,152
subject_id_sequence,d62e6af8-bef8-4d9c-a949-221a87691628,2021-08-04,2021-09-22,Tresom,description,153
subject_id_sequence,16d47f10-8e2b-44c9-a1bf-7c02e53d02be,2021-12-18,2021-12-26,Stim,description,154
subject_id_sequence,d89c27fd-8073-4e92-967b-20ab95edc72e,2021-08-26,2021-07-26,Sub-Ex,description,155
subject_id_sequence,3564d68c-38a4-4498-86b6-e4e128bc090c,2021-09-08,2021-12-07,Wrapsafe,description,156
subject_id_sequence,d85e581e-adaa-4299-a5fa-029f63dd57a4,2021-04-06,2021-06-04,Fixflex,description,157
subject_id_sequence,ece2ffa6-ad92-40ca-9fd3-83dd1f434af4,2021-09-28,2021-09-19,Viva,description,158
subject_id_sequence,dc7b660c-074b-48ef-9beb-e8f1c53e977e,2021-05-29,2021-09-26,Redhold,description,159
subject_id_sequence,7286ff8c-8e8a-457f-9e74-8734ab80d455,2021-03-15,2021-02-27,Stim,description,160
subject_id_sequence,4d2dd62e-5117-4dd4-aea7-8c3dccc3d4d9,2021-07-15,2021-08-13,Zaam-Dox,description,161
subject_id_sequence,3fadd9be-f4bc-4efd-b16c-9bd677830c2e,2021-04-11,2021-04-21,Alphazap,description,162
subject_id_sequence,16c49713-e56d-49e1-b868-12f9a6745fba,2021-05-17,2022-01-07,Asoka,description,163
subject_id_sequence,98ca6b1e-08bb-4456-b07d-c28753e83a73,2021-07-20,2021-07-29,Voltsillam,description,164
subject_id_sequence,1e9505d1-c867-41c6-b678-4e3259943dd7,2021-10-18,2021-06-06,Namfix,description,165
subject_id_sequence,bf833325-4b2a-4cdf-864d-3d0cacfd82b3,2021-08-05,2021-02-18,Bytecard,description,166
subject_id_sequence,9eb9a7f7-3d2a-4703-bab6-93cb7df3ac67,2021-09-23,2021-10-25,Otcom,description,167
subject_id_sequence,5e659834-1563-4cb2-ab33-2fdb8e9dba34,2021-02-17,2021-09-14,Asoka,description,168
subject_id_sequence,7045dfc9-ed8b-4f89-befc-691ab7180a4b,2021-03-25,2021-04-21,Otcom,description,169
subject_id_sequence,8b09a3f6-cf37-4904-84de-ec45f7f234b5,2021-05-07,2021-03-31,Sonair,description,170
subject_id_sequence,e5d20cd8-4702-460c-ba1b-7bdb81ccd744,2021-10-12,2021-08-09,Regrant,description,171
subject_id_sequence,9e30b9d1-be2c-49a7-8bba-8609be7cfe13,2021-03-07,2021-04-09,Redhold,description,172
subject_id_sequence,59dd87a6-6f0b-4d1d-8724-fb0f5ad6266a,2021-02-27,2022-01-30,Zathin,description,173
subject_id_sequence,4c6f5cc2-a2fe-4739-a6c2-e41dca528e4a,2021-04-14,2021-12-23,Zontrax,description,174
subject_id_sequence,daed78f6-3489-4c63-9fc2-d7ed6baafdef,2022-01-18,2021-10-01,Duobam,description,175
subject_id_sequence,3aa98803-a161-422c-926a-5e5e87afa815,2021-11-13,2021-09-02,Greenlam,description,176
subject_id_sequence,32950250-192e-44af-a4a6-85a12e193ff3,2021-12-31,2021-05-28,Prodder,description,177
subject_id_sequence,7fbc01f9-7b36-4763-a651-0230848dadf0,2021-09-10,2021-09-11,Wrapsafe,description,178
subject_id_sequence,89417a50-c20d-4ecf-8e91-07a7f7abe421,2021-10-18,2021-08-13,Y-find,description,179
subject_id_sequence,15035c45-589f-44a0-bbdb-27d7b316ee05,2021-06-09,2021-12-19,Ronstring,description,180
subject_id_sequence,23dc5529-8ae5-4457-a6de-d09dafcb01a9,2021-09-20,2022-01-01,Y-find,description,181
subject_id_sequence,76103538-9e1b-4c53-b85e-4d041926cef2,2021-06-15,2021-10-23,Andalax,description,182
subject_id_sequence,042bbf51-9e8a-4148-a779-fdd2afdd1135,2021-06-22,2021-10-07,Wrapsafe,description,183
subject_id_sequence,bbbc467f-a2e4-48d6-8af6-c4bd1935b191,2021-05-13,2021-02-19,Andalax,description,184
subject_id_sequence,a9b4c606-9090-464b-bb60-28f6aff799a3,2021-06-08,2021-07-05,Namfix,description,185
subject_id_sequence,ec4b12e7-17a8-4fc4-b6c9-dc626cf23fda,2021-06-26,2021-02-12,Subin,description,186
subject_id_sequence,3556be90-c4fa-458d-b016-7ad9d7b28840,2021-04-13,2021-11-07,Y-find,description,187
subject_id_sequence,1d58cabb-3d69-435b-a959-91f6c011cfac,2021-10-25,2021-12-27,Solarbreeze,description,188
subject_id_sequence,eecec152-bee1-4ad4-a7ad-7753e5b718b2,2021-09-16,2021-12-04,Y-find,description,189
subject_id_sequence,cb425cb6-0b90-4b53-8e72-4ed48cc0e049,2021-05-30,2021-08-10,Vagram,description,190
subject_id_sequence,618e096a-c805-4335-83a4-120ef6370106,2021-04-21,2021-02-08,Greenlam,description,191
subject_id_sequence,361727b9-b37f-4ee5-b998-881374d0331d,2021-07-21,2021-10-19,Stringtough,description,192
subject_id_sequence,8e838dbd-79a7-49a0-aee5-070d286a833e,2021-08-13,2022-01-11,Namfix,description,193
subject_id_sequence,e56202e3-a8bc-4e52-af24-92f8f981d0d0,2022-01-09,2021-06-26,Keylex,description,194
subject_id_sequence,7aa834b4-8a5a-456b-b46c-335432ff451a,2021-07-28,2021-11-20,Tempsoft,description,195
subject_id_sequence,1930f944-3235-47ac-bdab-f47b30725835,2021-04-18,2021-07-12,Cardguard,description,196
subject_id_sequence,bfb42e63-d24c-41bd-a486-208eecb4d14a,2021-09-13,2021-09-13,Fixflex,description,197
subject_id_sequence,0dc76db6-9a26-4d89-9bb2-0d92add98fe6,2021-07-13,2021-04-24,Ronstring,description,198
subject_id_sequence,5b130323-6782-4973-8723-d241d1f085fb,2021-04-24,2021-03-04,Regrant,description,199
subject_id_sequence,1ff567e2-0095-4e97-8b33-e4e87f5b4545,2021-05-02,2021-08-17,Ventosanzap,description,200
